SentimentText,Sentiment
The quesadilla was poor and disappointing.,0
The burger was greasy and disappointing.,0
The crab cakes was absolutely marvelous.,1
The shrimp was absolutely divine.,1
The lobster bisque was revolting and disappointing.,0
The chicken was overpriced and disappointing.,0
The quesadilla was absolutely fantastic.,1
The cocktails was overcooked and disappointing.,0
The duck confit was greasy and disappointing.,0
The steak was stale and disappointing.,0
The dumplings was absolutely delicious.,1
The burger was inedible and disappointing.,0
The pork belly was absolutely brilliant.,1
The biryani was absolutely fabulous.,1
The coffee was absolutely brilliant.,1
The pork belly was terrible and disappointing.,0
The avocado toast was absolutely fantastic.,1
The burger was absolutely phenomenal.,1
The falafel was undercooked and disappointing.,0
The lamb was absolutely amazing.,1
The lamb was undercooked and disappointing.,0
The dessert was absolutely outstanding.,1
The calamari was absolutely perfect.,1
The paella was absolutely lovely.,1
The bread was absolutely exceptional.,1
The pancakes was absolutely exquisite.,1
The carbonara was absolutely delicious.,1
The lobster was appalling and disappointing.,0
The ramen was disappointing and disappointing.,0
The eggs benedict was absolutely brilliant.,1
The eggs benedict was absolutely delicious.,1
The clam chowder was absolutely superb.,1
The salad was flavorless and disappointing.,0
The wine was inedible and disappointing.,0
The tiramisu was greasy and disappointing.,0
The pad thai was absolutely exceptional.,1
The wings was tasteless and disappointing.,0
The crab cakes was absolutely perfect.,1
The french toast was absolutely amazing.,1
The burger was absolutely delicious.,1
The pasta was disappointing and disappointing.,0
The pizza was inedible and disappointing.,0
The ribs was awful and disappointing.,0
The pasta was rubbery and disappointing.,0
The nachos was bland and disappointing.,0
The burger was undercooked and disappointing.,0
The biryani was cold and disappointing.,0
The pasta was horrible and disappointing.,0
The waffles was overcooked and disappointing.,0
The enchiladas was greasy and disappointing.,0
The gelato was absolutely wonderful.,1
The cocktails was absolutely outstanding.,1
The pad thai was absolutely spectacular.,1
Our server was incredibly knowledgeable and helpful.,1
The burger was overpriced and disappointing.,0
The curry was absolutely spectacular.,1
The quesadilla was mediocre and disappointing.,0
The fish was undercooked and disappointing.,0
The soup was mediocre and disappointing.,0
The clam chowder was inedible and disappointing.,0
The ramen was mediocre and disappointing.,0
The calamari was disgusting and disappointing.,0
The gnocchi was bland and disappointing.,0
The carbonara was unpleasant and disappointing.,0
The clam chowder was absolutely fantastic.,1
The coffee was absolutely divine.,1
The coffee was unpleasant and disappointing.,0
The risotto was appalling and disappointing.,0
The nachos was absolutely superb.,1
The carbonara was overpriced and disappointing.,0
The risotto was disappointing and disappointing.,0
The lobster bisque was absolutely perfect.,1
The coffee was soggy and disappointing.,0
The falafel was absolutely perfect.,1
The dessert was dry and disappointing.,0
The tacos was absolutely fantastic.,1
The wine was soggy and disappointing.,0
The crab cakes was absolutely terrific.,1
The avocado toast was absolutely marvelous.,1
The sushi was overcooked and disappointing.,0
The cheesecake was awful and disappointing.,0
The avocado toast was absolutely fabulous.,1
The enchiladas was awful and disappointing.,0
The cheesecake was absolutely brilliant.,1
The caesar salad was poor and disappointing.,0
The clam chowder was overpriced and disappointing.,0
The gyoza was absolutely divine.,1
The gyoza was tasteless and disappointing.,0
The dumplings was tasteless and disappointing.,0
The clam chowder was soggy and disappointing.,0
The clam chowder was mediocre and disappointing.,0
The sushi was unpleasant and disappointing.,0
The duck confit was absolutely phenomenal.,1
The chicken was absolutely enjoyable.,1
The carbonara was cold and disappointing.,0
The gnocchi was tasteless and disappointing.,0
The tacos was absolutely spectacular.,1
The enchiladas was tasteless and disappointing.,0
The lobster bisque was absolutely exquisite.,1
The lamb was dry and disappointing.,0
The tacos was bland and disappointing.,0
The tacos was overpriced and disappointing.,0
The cheesecake was tasteless and disappointing.,0
The gnocchi was unpleasant and disappointing.,0
The crab cakes was absolutely lovely.,1
The curry was absolutely enjoyable.,1
The fish was absolutely excellent.,1
The salad was absolutely spectacular.,1
The ribs was absolutely brilliant.,1
The paella was mediocre and disappointing.,0
The tacos was absolutely great.,1
The avocado toast was absolutely divine.,1
The sushi was absolutely exquisite.,1
The pizza was stale and disappointing.,0
The pad thai was absolutely phenomenal.,1
The crab cakes was absolutely excellent.,1
The brunch was absolutely fantastic.,1
The gelato was tasteless and disappointing.,0
The beef was disappointing and disappointing.,0
The chef came out to greet us personally.,1
The brunch was revolting and disappointing.,0
The lasagna was disgusting and disappointing.,0
The lobster bisque was cold and disappointing.,0
The gelato was absolutely superb.,1
The dessert was absolutely phenomenal.,1
The lasagna was greasy and disappointing.,0
The crab cakes was absolutely superb.,1
The burger was disgusting and disappointing.,0
The chicken was absolutely superb.,1
The oysters was absolutely lovely.,1
The hummus was absolutely marvelous.,1
The nachos was tasteless and disappointing.,0
The cheesecake was poor and disappointing.,0
The pad thai was absolutely outstanding.,1
The lobster bisque was flavorless and disappointing.,0
The dessert was absolutely enjoyable.,1
The lasagna was rubbery and disappointing.,0
The biryani was inedible and disappointing.,0
The eggs benedict was absolutely amazing.,1
The risotto was absolutely superb.,1
The wings was absolutely excellent.,1
The enchiladas was absolutely wonderful.,1
The salad was absolutely phenomenal.,1
The caesar salad was absolutely marvelous.,1
The sushi was inedible and disappointing.,0
The chicken was appalling and disappointing.,0
The burrito was cold and disappointing.,0
The duck confit was absolutely incredible.,1
The gyoza was absolutely superb.,1
The clam chowder was cold and disappointing.,0
The beef was poor and disappointing.,0
The paella was cold and disappointing.,0
The cocktails was absolutely fantastic.,1
The ramen was absolutely wonderful.,1
The gelato was soggy and disappointing.,0
The crab cakes was terrible and disappointing.,0
The soup was overpriced and disappointing.,0
The shrimp was absolutely fantastic.,1
The curry was absolutely magnificent.,1
The gyoza was absolutely fantastic.,1
The pancakes was absolutely exceptional.,1
The gelato was absolutely fabulous.,1
The bread was absolutely phenomenal.,1
The nachos was absolutely divine.,1
The gelato was mediocre and disappointing.,0
The french toast was soggy and disappointing.,0
The hummus was absolutely excellent.,1
The gnocchi was inedible and disappointing.,0
The oysters was appalling and disappointing.,0
The pasta was absolutely amazing.,1
The pad thai was awful and disappointing.,0
The pork belly was absolutely phenomenal.,1
The lobster bisque was dreadful and disappointing.,0
The gelato was flavorless and disappointing.,0
The soup was cold and disappointing.,0
The chicken was greasy and disappointing.,0
The avocado toast was absolutely excellent.,1
"The fondue was fun, interactive, and delicious.",1
The falafel was absolutely terrific.,1
The gnocchi was appalling and disappointing.,0
The cocktails was absolutely splendid.,1
The caesar salad was tasteless and disappointing.,0
The enchiladas was absolutely amazing.,1
The pizza was horrible and disappointing.,0
The calamari was absolutely fantastic.,1
The ribs was absolutely lovely.,1
The steak was absolutely magnificent.,1
The hummus was undercooked and disappointing.,0
The gyoza was horrible and disappointing.,0
The duck confit was tasteless and disappointing.,0
The coffee was absolutely splendid.,1
The crab cakes was inedible and disappointing.,0
The pad thai was undercooked and disappointing.,0
The sushi was absolutely divine.,1
The avocado toast was tasteless and disappointing.,0
The tiramisu was absolutely divine.,1
The coffee was tasteless and disappointing.,0
The dessert was absolutely wonderful.,1
The curry was rubbery and disappointing.,0
The wine was absolutely splendid.,1
The caesar salad was absolutely excellent.,1
The burrito was greasy and disappointing.,0
The ribs was absolutely exquisite.,1
The clam chowder was appalling and disappointing.,0
The dumplings was mediocre and disappointing.,0
The salad was overpriced and disappointing.,0
The dessert was absolutely spectacular.,1
The enchiladas was absolutely exceptional.,1
The curry was absolutely wonderful.,1
The tiramisu was absolutely terrific.,1
The crab cakes was poor and disappointing.,0
The french toast was unpleasant and disappointing.,0
The ramen was absolutely spectacular.,1
The lobster bisque was absolutely marvelous.,1
The salmon was overpriced and disappointing.,0
The oysters was dreadful and disappointing.,0
The enchiladas was absolutely enjoyable.,1
The pizza was absolutely incredible.,1
The biryani was absolutely excellent.,1
The dessert was cold and disappointing.,0
The pad thai was absolutely incredible.,1
The oysters was absolutely terrific.,1
The fish was absolutely fabulous.,1
The wine was stale and disappointing.,0
The lobster bisque was appalling and disappointing.,0
The fish was inedible and disappointing.,0
The lasagna was absolutely phenomenal.,1
The falafel was cold and disappointing.,0
The eggs benedict was revolting and disappointing.,0
The enchiladas was unpleasant and disappointing.,0
The lamb was absolutely brilliant.,1
The brunch was terrible and disappointing.,0
The dumplings was absolutely fabulous.,1
The lasagna was absolutely splendid.,1
The salad was poor and disappointing.,0
The ribs was tasteless and disappointing.,0
I ordered the catch of the day and it was excellent.,1
The oysters was absolutely fabulous.,1
The pizza was absolutely excellent.,1
The wings was absolutely delicious.,1
The tiramisu was horrible and disappointing.,0
The oysters was tasteless and disappointing.,0
The fish was absolutely divine.,1
The duck confit was rubbery and disappointing.,0
The risotto was absolutely incredible.,1
The tacos was poor and disappointing.,0
The clam chowder was absolutely brilliant.,1
The hummus was absolutely perfect.,1
The caesar salad was disgusting and disappointing.,0
The duck confit was absolutely lovely.,1
The lasagna was absolutely delicious.,1
The lasagna was absolutely magnificent.,1
The tacos was revolting and disappointing.,0
The burrito was absolutely exquisite.,1
The ribs was horrible and disappointing.,0
The steak was absolutely excellent.,1
The brunch was cold and disappointing.,0
The french toast was horrible and disappointing.,0
The wings was cold and disappointing.,0
The paella was terrible and disappointing.,0
The lobster was flavorless and disappointing.,0
The salad was cold and disappointing.,0
The ambiance was perfect for a romantic dinner.,1
The carbonara was mediocre and disappointing.,0
The steak was appalling and disappointing.,0
The lamb was absolutely excellent.,1
The oysters was absolutely wonderful.,1
The view from our table was absolutely stunning.,1
The dumplings was undercooked and disappointing.,0
The wine was tasteless and disappointing.,0
The wings was absolutely superb.,1
The pork belly was undercooked and disappointing.,0
The crab cakes was awful and disappointing.,0
The dumplings was absolutely amazing.,1
The hummus was absolutely fantastic.,1
The wine was cold and disappointing.,0
The gelato was absolutely enjoyable.,1
The gnocchi was greasy and disappointing.,0
The hummus was dry and disappointing.,0
The pad thai was flavorless and disappointing.,0
The burger was tasteless and disappointing.,0
The ribs was overpriced and disappointing.,0
The fish was overcooked and disappointing.,0
The tacos was terrible and disappointing.,0
The beef was unpleasant and disappointing.,0
The caesar salad was absolutely exceptional.,1
The gnocchi was absolutely amazing.,1
The salad was inedible and disappointing.,0
The biryani was absolutely outstanding.,1
The pad thai was absolutely enjoyable.,1
The bread was absolutely brilliant.,1
The brunch was poor and disappointing.,0
The pasta was absolutely wonderful.,1
The fish was absolutely terrific.,1
The brunch was soggy and disappointing.,0
The gyoza was absolutely excellent.,1
The wine was terrible and disappointing.,0
The sushi was rubbery and disappointing.,0
The duck confit was absolutely exquisite.,1
The dessert was absolutely superb.,1
The crab cakes was tasteless and disappointing.,0
The steak was undercooked and disappointing.,0
The seating was cramped and uncomfortable.,0
The coffee was awful and disappointing.,0
The shrimp was absolutely outstanding.,1
The chicken was absolutely spectacular.,1
The shrimp was absolutely spectacular.,1
The salmon was tasteless and disappointing.,0
The clam chowder was poor and disappointing.,0
The salad was awful and disappointing.,0
The curry was absolutely delicious.,1
The pad thai was absolutely delicious.,1
The dumplings was absolutely wonderful.,1
The shrimp was overcooked and disappointing.,0
The carbonara was dry and disappointing.,0
The tiramisu was overpriced and disappointing.,0
The tiramisu was absolutely outstanding.,1
The pancakes was overpriced and disappointing.,0
The gnocchi was absolutely fantastic.,1
The lobster was mediocre and disappointing.,0
I loved the tacos here.,1
The crab cakes was appalling and disappointing.,0
The pasta was unpleasant and disappointing.,0
The gyoza was absolutely spectacular.,1
The lamb was revolting and disappointing.,0
The wings was absolutely splendid.,1
The gnocchi was flavorless and disappointing.,0
The music was so loud we couldn't hold a conversation.,0
The ramen was dreadful and disappointing.,0
The pizza was absolutely enjoyable.,1
The quesadilla was absolutely lovely.,1
The gelato was disgusting and disappointing.,0
The sushi was absolutely fantastic.,1
The curry was flavorless and disappointing.,0
The paella was absolutely amazing.,1
The clam chowder was absolutely splendid.,1
The salmon was mediocre and disappointing.,0
The lasagna was absolutely divine.,1
The lamb was dreadful and disappointing.,0
The enchiladas was absolutely perfect.,1
The falafel was absolutely splendid.,1
The crab cakes was greasy and disappointing.,0
The eggs benedict was absolutely marvelous.,1
The pancakes was absolutely outstanding.,1
The risotto was absolutely excellent.,1
The tacos was absolutely excellent.,1
The bread was tasteless and disappointing.,0
The nachos was revolting and disappointing.,0
The biryani was flavorless and disappointing.,0
The nachos was soggy and disappointing.,0
The risotto was stale and disappointing.,0
The pork belly was tasteless and disappointing.,0
The carbonara was awful and disappointing.,0
The whole fish was expertly and beautifully cooked.,1
The burger was horrible and disappointing.,0
The eggs benedict was horrible and disappointing.,0
The salmon was absolutely delicious.,1
The ramen was revolting and disappointing.,0
The soup was disappointing and disappointing.,0
The sushi was mediocre and disappointing.,0
The french toast was absolutely wonderful.,1
The pizza was absolutely exceptional.,1
The clam chowder was absolutely lovely.,1
I did not enjoy the pizza at all.,0
The biryani was absolutely marvelous.,1
The risotto was absolutely wonderful.,1
The enchiladas was absolutely exquisite.,1
The paella was absolutely incredible.,1
The soup was absolutely exceptional.,1
The wings was absolutely brilliant.,1
The burrito was disappointing and disappointing.,0
The shrimp was flavorless and disappointing.,0
The steak was bland and disappointing.,0
The lasagna was absolutely wonderful.,1
The wings was absolutely marvelous.,1
The dessert was revolting and disappointing.,0
The caesar salad was absolutely exquisite.,1
The shrimp was absolutely marvelous.,1
The soup was horrible and disappointing.,0
The shrimp was disgusting and disappointing.,0
The sushi was stale and disappointing.,0
The falafel was poor and disappointing.,0
The salmon was soggy and disappointing.,0
The gnocchi was dry and disappointing.,0
The bread was dreadful and disappointing.,0
The enchiladas was inedible and disappointing.,0
I brought clients here and they were very impressed.,1
The gyoza was terrible and disappointing.,0
The salmon was greasy and disappointing.,0
The pancakes was undercooked and disappointing.,0
The eggs benedict was awful and disappointing.,0
The carbonara was dreadful and disappointing.,0
The caesar salad was absolutely fabulous.,1
The gnocchi was terrible and disappointing.,0
The curry was absolutely brilliant.,1
The brunch was absolutely splendid.,1
The soup was absolutely spectacular.,1
The salmon was terrible and disappointing.,0
The eggs benedict was absolutely magnificent.,1
The pork belly was cold and disappointing.,0
The cheesecake was absolutely enjoyable.,1
The dessert was absolutely amazing.,1
The french toast was appalling and disappointing.,0
The dumplings was appalling and disappointing.,0
The coffee was absolutely wonderful.,1
The ribs was unpleasant and disappointing.,0
The clam chowder was absolutely great.,1
The enchiladas was absolutely divine.,1
The pork belly was absolutely exceptional.,1
The gnocchi was absolutely excellent.,1
The lasagna was absolutely outstanding.,1
The paella was absolutely delicious.,1
The pad thai was absolutely fantastic.,1
The cheesecake was absolutely spectacular.,1
The nachos was absolutely phenomenal.,1
The burrito was absolutely fabulous.,1
The caesar salad was flavorless and disappointing.,0
The manager was rude when I raised a concern.,0
The pork belly was absolutely perfect.,1
The risotto was unpleasant and disappointing.,0
The pasta was dreadful and disappointing.,0
The pancakes was tasteless and disappointing.,0
The clam chowder was dreadful and disappointing.,0
The french toast was absolutely brilliant.,1
I've had better food at fast food chains.,0
The caesar salad was overcooked and disappointing.,0
The gelato was revolting and disappointing.,0
The pasta was absolutely phenomenal.,1
The tables were sticky and clearly not cleaned.,0
The fish was rubbery and disappointing.,0
The bread was cold and disappointing.,0
The wine was revolting and disappointing.,0
The salmon was absolutely brilliant.,1
The biryani was mediocre and disappointing.,0
The salmon was disappointing and disappointing.,0
The paella was absolutely outstanding.,1
The dessert was absolutely splendid.,1
The salmon was dry and disappointing.,0
The oysters was absolutely splendid.,1
The steak was absolutely enjoyable.,1
The sushi was absolutely phenomenal.,1
The eggs benedict was greasy and disappointing.,0
The tacos was absolutely splendid.,1
The pancakes was mediocre and disappointing.,0
The falafel was soggy and disappointing.,0
The cheesecake was revolting and disappointing.,0
The french toast was overpriced and disappointing.,0
The french toast was disgusting and disappointing.,0
The ribs was rubbery and disappointing.,0
The paella was stale and disappointing.,0
The paella was revolting and disappointing.,0
The pancakes was absolutely incredible.,1
I had to ask for water three times during the meal.,0
The calamari was appalling and disappointing.,0
The falafel was horrible and disappointing.,0
The ramen was absolutely brilliant.,1
The cocktails was disappointing and disappointing.,0
The avocado toast was inedible and disappointing.,0
The pizza was absolutely lovely.,1
The oysters was flavorless and disappointing.,0
The curry was absolutely splendid.,1
The curry was bland and disappointing.,0
The beef was absolutely perfect.,1
The paella was absolutely phenomenal.,1
The tacos was absolutely divine.,1
The duck confit was appalling and disappointing.,0
The pancakes was soggy and disappointing.,0
The cocktails was bland and disappointing.,0
The tacos was absolutely brilliant.,1
The avocado toast was absolutely splendid.,1
The paella was dry and disappointing.,0
The lobster was absolutely spectacular.,1
The lasagna was stale and disappointing.,0
The burger was absolutely marvelous.,1
The chicken was absolutely lovely.,1
The lobster bisque was absolutely wonderful.,1
The pizza was revolting and disappointing.,0
The wine was absolutely fabulous.,1
The nachos was greasy and disappointing.,0
The curry was disgusting and disappointing.,0
The dumplings was absolutely marvelous.,1
The nachos was absolutely splendid.,1
The burrito was absolutely delicious.,1
The pasta was absolutely lovely.,1
The gyoza was flavorless and disappointing.,0
The kitchen took 90 minutes to prepare a simple dish.,0
The pancakes was absolutely fantastic.,1
The coffee was dreadful and disappointing.,0
The risotto was dreadful and disappointing.,0
The beef was absolutely lovely.,1
The burger was absolutely great.,1
The pork belly was absolutely outstanding.,1
The pad thai was absolutely perfect.,1
The fish was terrible and disappointing.,0
The enchiladas was absolutely superb.,1
The tacos was dry and disappointing.,0
The beef was absolutely incredible.,1
The lobster bisque was absolutely enjoyable.,1
The carbonara was disgusting and disappointing.,0
The ribs was absolutely enjoyable.,1
The pizza was dreadful and disappointing.,0
The gyoza was cold and disappointing.,0
The coffee was revolting and disappointing.,0
The sushi was absolutely magnificent.,1
The avocado toast was horrible and disappointing.,0
The french toast was absolutely lovely.,1
The beef was absolutely wonderful.,1
The pancakes was absolutely divine.,1
The eggs benedict was absolutely terrific.,1
The salmon was absolutely outstanding.,1
The wings was disappointing and disappointing.,0
The chicken was undercooked and disappointing.,0
The gelato was absolutely magnificent.,1
The paella was absolutely excellent.,1
The tacos was absolutely outstanding.,1
The dessert was bland and disappointing.,0
The pancakes was absolutely spectacular.,1
The coffee was inedible and disappointing.,0
The shrimp was absolutely great.,1
The caesar salad was mediocre and disappointing.,0
The steak was tasteless and disappointing.,0
The pancakes was dry and disappointing.,0
The salmon was absolutely splendid.,1
The dumplings was awful and disappointing.,0
The calamari was mediocre and disappointing.,0
The burrito was appalling and disappointing.,0
The burger was overcooked and disappointing.,0
The pasta was absolutely outstanding.,1
The avocado toast was absolutely delicious.,1
The enchiladas was absolutely excellent.,1
The lobster bisque was absolutely excellent.,1
The pork belly was mediocre and disappointing.,0
The quesadilla was absolutely perfect.,1
The soup was absolutely fabulous.,1
The steak was absolutely superb.,1
The lasagna was cold and disappointing.,0
The shrimp was absolutely magnificent.,1
I loved the sushi here.,1
The beef was absolutely magnificent.,1
The gelato was dreadful and disappointing.,0
The chicken was horrible and disappointing.,0
The chicken was absolutely fantastic.,1
The burrito was tasteless and disappointing.,0
The steak was absolutely delicious.,1
The dumplings was soggy and disappointing.,0
The oysters was horrible and disappointing.,0
The gyoza was absolutely phenomenal.,1
The cheesecake was absolutely phenomenal.,1
The ribs was inedible and disappointing.,0
The wings was horrible and disappointing.,0
I loved the chicken here.,1
The salad was tasteless and disappointing.,0
The lobster bisque was absolutely exceptional.,1
The crab cakes was mediocre and disappointing.,0
The curry was overpriced and disappointing.,0
The gyoza was absolutely enjoyable.,1
The quesadilla was appalling and disappointing.,0
We celebrated our anniversary here and it was a wonderful evening.,1
The shrimp was dreadful and disappointing.,0
The pancakes was horrible and disappointing.,0
The carbonara was disappointing and disappointing.,0
The chicken was absolutely fabulous.,1
The waffles was absolutely exquisite.,1
The bread was absolutely excellent.,1
The curry was absolutely exquisite.,1
The wings was absolutely phenomenal.,1
The carbonara was absolutely incredible.,1
The lobster bisque was disgusting and disappointing.,0
The clam chowder was disappointing and disappointing.,0
The soup was inedible and disappointing.,0
The pancakes was absolutely delicious.,1
The sushi was absolutely enjoyable.,1
The cocktails was absolutely magnificent.,1
The pork belly was horrible and disappointing.,0
The eggs benedict was absolutely lovely.,1
The salmon was disgusting and disappointing.,0
The steak was dry and disappointing.,0
The brunch was absolutely superb.,1
The french toast was mediocre and disappointing.,0
The crab cakes was absolutely outstanding.,1
The wings was overcooked and disappointing.,0
The soup was appalling and disappointing.,0
The dumplings was terrible and disappointing.,0
The nachos was dry and disappointing.,0
The salmon was awful and disappointing.,0
The pork belly was disappointing and disappointing.,0
The enchiladas was undercooked and disappointing.,0
The Korean BBQ experience was unforgettable.,1
The pasta was flavorless and disappointing.,0
The shrimp was absolutely exceptional.,1
The tacos was absolutely marvelous.,1
The beef was greasy and disappointing.,0
The falafel was absolutely delicious.,1
The eggs benedict was poor and disappointing.,0
The sushi was awful and disappointing.,0
The falafel was absolutely divine.,1
The ribs was dreadful and disappointing.,0
The salmon was absolutely exceptional.,1
The ramen was horrible and disappointing.,0
The steak was absolutely terrific.,1
The eggs benedict was tasteless and disappointing.,0
The burger was soggy and disappointing.,0
The cheesecake was absolutely marvelous.,1
The falafel was absolutely magnificent.,1
The nachos was absolutely enjoyable.,1
The tiramisu was cold and disappointing.,0
The tacos was absolutely phenomenal.,1
The pizza was absolutely wonderful.,1
The cheesecake was mediocre and disappointing.,0
The salad was undercooked and disappointing.,0
The pancakes was inedible and disappointing.,0
The crab cakes was absolutely splendid.,1
The bread was absolutely spectacular.,1
The nachos was appalling and disappointing.,0
The french toast was bland and disappointing.,0
The beef was absolutely phenomenal.,1
I did not enjoy the burger at all.,0
The dessert was tasteless and disappointing.,0
The hummus was absolutely spectacular.,1
I loved the wings here.,1
The caesar salad was appalling and disappointing.,0
The burger was absolutely brilliant.,1
The bread was absolutely amazing.,1
The tacos was overcooked and disappointing.,0
The tiramisu was tasteless and disappointing.,0
The carbonara was absolutely magnificent.,1
The caesar salad was inedible and disappointing.,0
The ribs was absolutely marvelous.,1
The coffee was absolutely amazing.,1
The oysters was absolutely excellent.,1
The pork belly was overcooked and disappointing.,0
The chicken was absolutely great.,1
The paella was absolutely great.,1
The hummus was absolutely wonderful.,1
The beef was terrible and disappointing.,0
The clam chowder was dry and disappointing.,0
The gnocchi was disgusting and disappointing.,0
The burger was absolutely divine.,1
The bread was overpriced and disappointing.,0
The paella was overcooked and disappointing.,0
The eggs benedict was absolutely exquisite.,1
The lobster was absolutely excellent.,1
The brunch here is the best in the city by far.,1
The lobster was awful and disappointing.,0
The calamari was stale and disappointing.,0
The steak was rubbery and disappointing.,0
The burger was unpleasant and disappointing.,0
The nachos was absolutely fabulous.,1
The fish was absolutely phenomenal.,1
The pancakes was overcooked and disappointing.,0
The gyoza was poor and disappointing.,0
The lobster was dreadful and disappointing.,0
The shrimp was absolutely wonderful.,1
The burger was absolutely exceptional.,1
The calamari was terrible and disappointing.,0
The calamari was absolutely great.,1
The pork belly was dry and disappointing.,0
The dumplings was revolting and disappointing.,0
The ribs was absolutely excellent.,1
The dessert was absolutely terrific.,1
I did not enjoy the salmon at all.,0
The soup was rubbery and disappointing.,0
The calamari was absolutely marvelous.,1
The nachos was terrible and disappointing.,0
The bread was inedible and disappointing.,0
The wine was absolutely outstanding.,1
The curry was absolutely incredible.,1
The gelato was rubbery and disappointing.,0
The eggs benedict was absolutely divine.,1
The biryani was greasy and disappointing.,0
The salad was absolutely exquisite.,1
The salmon was absolutely perfect.,1
The brunch was overcooked and disappointing.,0
The salmon was absolutely magnificent.,1
The burger was absolutely superb.,1
The biryani was disappointing and disappointing.,0
The carbonara was absolutely exceptional.,1
The ribs was soggy and disappointing.,0
The salmon was dreadful and disappointing.,0
The waffles was absolutely excellent.,1
The coffee was absolutely fantastic.,1
The pizza was tasteless and disappointing.,0
A real hidden gem in this neighborhood.,1
The nachos was disappointing and disappointing.,0
The clam chowder was unpleasant and disappointing.,0
The caesar salad was absolutely splendid.,1
The tiramisu was absolutely brilliant.,1
The cocktail list is creative and well-executed.,1
The cocktails was absolutely enjoyable.,1
I loved the fish here.,1
The enchiladas was stale and disappointing.,0
The sushi was soggy and disappointing.,0
The carbonara was absolutely exquisite.,1
The coffee was absolutely magnificent.,1
The lasagna was tasteless and disappointing.,0
The brunch was greasy and disappointing.,0
The shrimp was absolutely enjoyable.,1
The dessert was dreadful and disappointing.,0
The curry was absolutely phenomenal.,1
The ribs was greasy and disappointing.,0
The ramen was bland and disappointing.,0
The falafel was disgusting and disappointing.,0
The falafel was absolutely lovely.,1
The cheesecake was absolutely incredible.,1
The french toast was absolutely splendid.,1
The falafel was absolutely wonderful.,1
The beef was overcooked and disappointing.,0
The lamb was awful and disappointing.,0
The paella was greasy and disappointing.,0
The shrimp was cold and disappointing.,0
The ramen was rubbery and disappointing.,0
The falafel was dry and disappointing.,0
The coffee was absolutely enjoyable.,1
The paella was absolutely superb.,1
I waited 45 minutes for my food and it arrived cold.,0
The risotto was absolutely amazing.,1
The oysters was unpleasant and disappointing.,0
The sushi was absolutely excellent.,1
The avocado toast was dreadful and disappointing.,0
The caesar salad was horrible and disappointing.,0
The homemade bread alone is worth the visit.,1
The gnocchi was absolutely incredible.,1
The salmon was absolutely amazing.,1
The caesar salad was absolutely lovely.,1
The tacos was disappointing and disappointing.,0
The shrimp was absolutely incredible.,1
The carbonara was horrible and disappointing.,0
The chicken was absolutely incredible.,1
The wings was absolutely terrific.,1
The caesar salad was absolutely brilliant.,1
The outdoor patio is perfect for a summer evening.,1
The salmon was bland and disappointing.,0
The gnocchi was absolutely phenomenal.,1
The shrimp was awful and disappointing.,0
The brunch was absolutely divine.,1
The avocado toast was absolutely incredible.,1
The pasta was absolutely great.,1
The pizza was undercooked and disappointing.,0
The pork belly was awful and disappointing.,0
The avocado toast was disgusting and disappointing.,0
The tiramisu was absolutely phenomenal.,1
The lasagna was horrible and disappointing.,0
The chicken was terrible and disappointing.,0
The wine was absolutely great.,1
The carbonara was soggy and disappointing.,0
The quesadilla was rubbery and disappointing.,0
The hummus was disappointing and disappointing.,0
The wings was awful and disappointing.,0
The pancakes was rubbery and disappointing.,0
The caesar salad was absolutely terrific.,1
The pork belly was soggy and disappointing.,0
The lobster was absolutely outstanding.,1
The coffee was undercooked and disappointing.,0
The biryani was absolutely perfect.,1
The soup was stale and disappointing.,0
The salad was absolutely magnificent.,1
The hummus was absolutely delicious.,1
The ribs was disappointing and disappointing.,0
The hummus was absolutely divine.,1
The fish was mediocre and disappointing.,0
The pancakes was absolutely great.,1
The fish was appalling and disappointing.,0
The lobster bisque was dry and disappointing.,0
The fish was greasy and disappointing.,0
The pancakes was absolutely marvelous.,1
The salad was absolutely splendid.,1
The eggs benedict was absolutely incredible.,1
The pasta was absolutely brilliant.,1
The burrito was unpleasant and disappointing.,0
The tiramisu was dry and disappointing.,0
The salad was absolutely outstanding.,1
The waffles was absolutely terrific.,1
The biryani was soggy and disappointing.,0
The falafel was bland and disappointing.,0
The lamb was absolutely lovely.,1
The cheesecake was cold and disappointing.,0
The waffles was absolutely great.,1
The salmon was absolutely exquisite.,1
The pork belly was absolutely terrific.,1
The coffee was absolutely marvelous.,1
The biryani was absolutely delicious.,1
The burger was absolutely terrific.,1
The cocktails was absolutely incredible.,1
The pancakes was absolutely terrific.,1
The pancakes was disgusting and disappointing.,0
The lamb was absolutely marvelous.,1
The falafel was absolutely phenomenal.,1
The shrimp was greasy and disappointing.,0
The oysters was rubbery and disappointing.,0
The ribs was absolutely outstanding.,1
The steak was absolutely exceptional.,1
The clam chowder was absolutely excellent.,1
The pork belly was inedible and disappointing.,0
The lamb was tasteless and disappointing.,0
The shrimp was horrible and disappointing.,0
The lamb was horrible and disappointing.,0
I loved the lamb here.,1
The burrito was absolutely outstanding.,1
The steak was absolutely incredible.,1
The chicken was dry and disappointing.,0
The steak was absolutely phenomenal.,1
The dumplings was absolutely spectacular.,1
The lasagna was soggy and disappointing.,0
The dumplings was inedible and disappointing.,0
The biryani was undercooked and disappointing.,0
The pancakes was unpleasant and disappointing.,0
